Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Instal Kraków SA,13.9,0.36,13.85,13.8,13.9,2403,33301,2019-01-04
Inter Cars SA,210.5,1.2,210,210,211,314,66153,2019-01-04
Inter Rao Lietuva AB,11.8,-0.42,11.55,11.55,11.9,1969,23335,2019-01-04
Interbud-Lublin SA,0.3,0,0.3,0.3,0.3,1000,300,2019-01-04
Interferie SA,3.7,0,0,0,0,0,0,2019-01-03
Interma Trade SA,3.1,-4.62,3.11,3.07,3.52,61340,199449,2019-01-04
Intersport Polska SA,2.04,0.99,2.03,1.95,2.04,4008,7980,2019-01-04
Introl SA,3.02,-5.63,3.23,3.02,3.23,1142,3486,2019-01-04
Investment Friends Capital SE,0.54,0,0,0,0,0,0,2019-01-03
Investment Friends SE,0.3,0,0.29,0.29,0.3,2750,807,2019-01-04
Invista SA,0.84,0,0.84,0.84,0.84,10,8,2019-01-04
IPF plc,9.63,0,0,0,0,0,0,2019-01-03
Ipopema Securities SA,1.22,0.83,1.22,1.22,1.22,221,270,2019-01-04
IQ Partners SA,0.33,0,0,0,0,0,0,2019-01-03
Izoblok SA,29.4,1.03,29.2,29.2,29.5,155,4535,2019-01-04
Izolacja Jarocin SA,1.72,0,1.72,1.72,1.72,1,2,2019-01-04
Izostal SA,2.88,-1.71,2.89,2.85,2.9,850,2450,2019-01-04
J.W. Construction Holding SA,2.37,3.04,2.38,2.29,2.38,802,1843,2019-01-04
JHM Development SA,1.53,0,1.53,1.53,1.53,1,2,2019-01-04
JJ Auto AG,9.7,0,0,0,0,0,0,2019-01-03
JSW SA,67.88,3.04,66.26,65.74,67.88,159080,10698855,2019-01-04
JWW Invest SA,1.04,0,1.04,1.04,1.04,45,47,2019-01-04
K2 Internet SA,11.6,0.87,11.5,11.5,11.6,1202,13826,2019-01-04
KB Dom SA,0.43,0,0,0,0,0,0,2019-01-03
KCI SA,0.5,0,0.47,0.47,0.5,6384,3189,2019-01-04
KDM Shipping Public Ltd.,0.88,-2.22,0.9,0.88,0.9,16000,14160,2019-01-04
Kernel Holding SA,49,-1.51,49.1,48.6,49.55,38787,1903893,2019-01-04
KGHM Polska Miedź SA,88.42,2.67,87.5,87.4,88.58,495046,43576863,2019-01-04
Kino Polska TV SA,11,0.46,11,11,11,167,1837,2019-01-04
Kogeneracja SA,44.6,6.7,42,41,44.6,114,4750,2019-01-04
Kompap SA,6.45,0,0,0,0,0,0,2019-01-03
Komputronik SA,3.67,8.26,3.4,3.3,3.74,20645,72007,2019-01-04
Konsorcjum Stali SA,29.9,0.34,30,29.3,30,945,27891,2019-01-04
Korporacja KGL SA,12.3,6.03,11.2,10.7,12.3,6584,75834,2019-01-04
KPPD SA,22.6,3.67,22,22,22.6,351,7723,2019-01-04
Krakchemia SA,1.24,7.83,1.15,1.15,1.26,31922,37074,2019-01-04
Kredyt Inkaso SA,11.8,0,11.1,11.1,11.8,685,7607,2019-01-04
Krezus SA,0.56,0,0,0,0,0,0,2019-01-03
KRKA DD,246,0,0,0,0,0,0,2019-01-03
Kruk SA,159.9,0.5,159.3,157.8,161.5,39098,6249393,2019-01-04
Kruszwica SA,38.8,-0.51,39,38.8,39.4,2614,101963,2019-01-04
Krynica Vitamin SA,8,0,7.62,7.62,8,102,814,2019-01-04
Krynicki Recykling SA,4.95,0,4.95,4.85,4.95,102,495,2019-01-04
KSG Agro SA,0.76,0,0,0,0,0,0,2019-01-03
Labo Print SA,12.95,-0.38,12.95,12.95,12.95,5,65,2019-01-04
Larq SA,5.9,0,5.9,5.9,5.9,12,71,2019-01-04
LC Corp SA,2.36,0,2.39,2.35,2.39,76409,180788,2019-01-04
Lena Lighting SA,2.71,1.12,2.68,2.67,2.71,2788,7506,2019-01-04
Lentex SA,7.4,0.54,7.38,7.38,7.4,1856,13723,2019-01-04
Libet SA,1.15,-1.71,1.17,1.12,1.17,3002,3392,2019-01-04
LiveChat Software SA,23.4,-0.21,23.45,23.25,23.85,9251,217204,2019-01-04
Lokum Deweloper SA,15,0,15,15,15,54,810,2019-01-04
LPP SA,7805,1.69,7720,7680,7835,3307,25708645,2019-01-04
LSI Software SA,11.5,0,0,0,0,0,0,2019-01-03
Lubawa SA,0.62,-1.59,0.63,0.62,0.63,22644,14112,2019-01-04
LW Bogdanka SA,53.4,1.71,52.6,52.4,53.4,1187,62655,2019-01-04
Mabion SA,79.1,-2.59,81,77.5,81.5,22076,1743737,2019-01-04
Makarony Polskie SA,4.3,0,4.3,4.3,4.3,200,860,2019-01-04
Mangata Holding SA,57.6,3.23,57,55.8,57.6,345,19499,2019-01-04
Marie Brizard Wine & Spirits,10.76,7.6,10.56,10.22,10.76,2695,28088,2019-01-04
Marvipol Development SA,3.22,-0.31,3.3,3.2,3.3,9617,30927,2019-01-04
Master Pharm SA,5.98,0.34,5.94,5.78,5.98,7231,42848,2019-01-04
Maxcom SA,16.65,7.07,15.6,15.55,16.7,1794,29241,2019-01-04
mBank SA,422,0.48,417.4,417.4,424,46192,19487311,2019-01-04
MCI Capital SA,9.16,1.78,9.28,9.16,9.48,7583,70168,2019-01-04
MDI Energia SA,3.48,-9.38,3.83,3.48,3.83,947,3332,2019-01-04
Mediacap SA,1.61,-3.59,1.61,1.61,1.61,30,48,2019-01-04
Mediatel SA,0.74,0,0,0,0,0,0,2019-01-03
Medicalgorithmics SA,31.7,4.62,30.55,29.6,32.2,22126,684614,2019-01-04
Megaron SA,12,0,0,0,0,0,0,2019-01-03
Mennica Polska SA,20.2,-1.94,20.2,20.2,20.2,3,61,2019-01-04
